number,meal_type,meal_slot,tags,title,ingredients,instructions,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total (g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added (mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added (mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),Water (g)
200011,recipe,,Vegetable Side Dishes,Broccoli with Lemon and Parmesan,"['Broccoli florets', 'Olive oil', 'Lemon zest', 'Grated Parmesan cheese', 'Salt', 'Black pepper']","{'1': 'Bring a pot of salted water to a boil.', '2': 'Add the broccoli florets and blanch for 2 minutes.', '3': 'Drain the broccoli and transfer it to a bowl of ice water to stop the cooking process. Drain again.', '4': '""In a large skillet', '5': 'Add the blanched broccoli to the skillet and sautÃ© for 2-3 minutes.', '6': '""Add lemon zest', '7': '""Cook for an additional 1-2 minutes', '8': 'Remove from heat and serve immediately as a zesty side dish.'}",270.0,0.0,0.0,0,0.0,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0,0.0,0.0,6.264,0,7.8,0.3,0.0,0.0,0,0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0
200012,recipe,,Vegetable Side Dishes,Sesame Ginger Broccoli Stir-Fry,"['Broccoli florets', 'Sesame oil', 'Soy sauce', 'Rice vinegar', 'Honey', 'Fresh ginger, grated', 'Garlic cloves, minced', 'Sesame seeds']","{'1': '""In a small bowl', '2': 'Heat a large skillet or wok over medium-high heat.', '3': 'Add the broccoli florets to the skillet and stir-fry for 3-4 minutes.', '4': 'Pour the sauce over the broccoli in the skillet and toss to coat evenly.', '5': '""Cook for an additional 2-3 minutes', '6': 'Remove from heat and sprinkle with sesame seeds before serving.', '7': 'Enjoy hot as a flavorful and nutritious side dish.'}",421.35,5.555,15.598999999999998,0,2.01,39.353,5.640000000000001,15.525,16.413,0.0,0.0,0.45,0.0,6.0,0.0,0.0,0.0,0.1149999999999999,0.069,1.5470000000000002,0.108,0.0,21.75,21.75,21.75,9.72,0.0,0,0.075,0.0,0.6719999999999999,0,4.08,19.8,150.45,74.25,0,0,0.2279999999999999,5.43,193.8,1655.55,0.0,0.0,0.0,0
200013,recipe,,Vegetable Side Dishes,Garlic Parmesan Green Beans,"['Green beans', 'Butter', 'Garlic cloves, minced', 'Grated Parmesan cheese', 'Salt', 'Black pepper']","{'1': 'Bring a large pot of salted water to a boil.', '2': '""Add the green beans to the boiling water and blanch for 2-3 minutes', '3': 'Drain the green beans and transfer them to a bowl of ice water to stop the cooking process. Drain again.', '4': '""In a large skillet', '5': '""Add minced garlic to the skillet and saute for 1-2 minutes', '6': 'Add the blanched green beans to the skillet and toss to coat in the garlic butter.', '7': '""Sprinkle grated Parmesan cheese', '8': '""Cook for an additional 2-3 minutes', '9': 'Remove from heat and serve hot as a flavorful side dish.'}",363.514,8.556000000000001,31.633,0,12.247,25.658,13.907,5.115,1.269,70.5,223.2,386.157,313.57800000000003,1769.514,2.4,0.0,2902.989,0.374,0.472,3.329,0.64,0.0,151.185,151.185,151.185,75.04,0.0,0,55.338,0.12,1.86,0,197.145,174.12900000000002,178.965,113.998,0,0,0.315,2.722,963.979,184.416,0.0,0.0,0.0,0
200014,recipe,,Vegetable Side Dishes,Lemon Garlic Green Beans,"['Green beans', 'Olive oil', 'Garlic cloves, minced', 'Lemon zest', 'Lemon juice', 'Salt', 'Black pepper']","{'1': 'Bring a large pot of salted water to a boil.', '2': '""Add the green beans to the boiling water and blanch for 2-3 minutes', '3': 'Drain the green beans and transfer them to a bowl of ice water to stop the cooking process. Drain again.', '4': '""In a large skillet', '5': '""Add minced garlic to the skillet and saute for 1-2 minutes', '6': 'Add the blanched green beans to the skillet and toss to coat in the garlic oil.', '7': 'Sprinkle lemon zest over the green beans and squeeze lemon juice over them. Season with salt and black pepper.', '8': '""Cook for an additional 2-3 minutes', '9': 'Remove from heat and serve hot as a refreshing side dish.'}",410.614,8.301,31.615,0,12.247,30.998,4.883,20.571,3.354,0.0,0.0,158.757,312.978,1719.114,0.0,0.0,2902.989,0.372,0.472,3.329,0.64,0.0,149.685,149.685,149.685,69.49000000000001,0.0,0,55.338,0.0,8.124,0,202.845,168.12900000000002,172.365,113.398,0,0,0.313,2.722,957.379,27.816000000000003,0.0,0.0,0.0,0
200015,recipe,,Vegetable Side Dishes,Almond Green Beans,"['Green beans', 'Butter', 'Slivered almonds', 'Salt', 'Black pepper']","{'1': 'Bring a large pot of salted water to a boil.', '2': '""Add the green beans to the boiling water and blanch for 2-3 minutes', '3': 'Drain the green beans and transfer them to a bowl of ice water to stop the cooking process. Drain again.', '4': '""In a large skillet', '5': '""Add slivered almonds to the skillet and toast for 2-3 minutes', '6': 'Add the blanched green beans to the skillet and toss to coat in the butter and almonds.', '7': 'Season with salt and black pepper.', '8': '""Cook for an additional 2-3 minutes', '9': 'Remove from heat and serve hot as a crunchy and nutty side dish.'}",363.514,8.556000000000001,31.633,0,12.247,25.658,13.907,5.115,1.269,70.5,223.2,386.157,313.57800000000003,1769.514,2.4,0.0,2902.989,0.374,0.472,3.329,0.64,0.0,151.185,151.185,151.185,75.04,0.0,0,55.338,0.12,1.86,0,197.145,174.12900000000002,178.965,113.998,0,0,0.315,2.722,963.979,184.416,0.0,0.0,0.0,0
200016,recipe,,Vegetable Side Dishes,Garlic Butter Mushrooms,"['Button mushrooms', 'Butter', 'Garlic', 'Salt', 'Black pepper', 'Fresh parsley (chopped)']","{'1': 'Clean the mushrooms with a damp cloth and trim the stems.', '2': '""Slice the mushrooms into halves or quarters', '3': '""In a large skillet', '4': 'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.', '5': '""Add the sliced mushrooms to the skillet and cook for 8-10 minutes', '6': 'Season with salt and black pepper to taste.', '7': 'Remove from heat and garnish with chopped fresh parsley before serving.', '8': 'Enjoy hot as a delicious side dish.'}",458.67,1.106,2.574,0,0.243,49.354,27.368,10.141,1.534,141.0,446.4,454.8,1.2,101.25,4.8,0.0,1.44,0.0209999999999999,0.01,0.063,0.111,0.0,3.27,3.27,3.27,13.368,0.0,0,0.9,0.24,0.007,0,4.353,28.89,26.97,3.45,0,0,0.031,0.882,49.89,315.92999999999995,0.0,0.0,0.0,0
200017,recipe,,Vegetable Side Dishes,Balsamic Glazed Mushrooms,"['Button mushrooms', 'Olive oil', 'Balsamic vinegar', 'Honey', 'Garlic cloves', 'Salt', 'Black pepper']","{'1': 'Clean the mushrooms with a damp cloth and trim the stems.', '2': '""In a large skillet', '3': 'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.', '4': 'Add the mushrooms to the skillet and cook for 5-7 minutes until they start to soften.', '5': '""In a small bowl', '6': 'Add the balsamic mixture to the skillet and toss to coat the mushrooms evenly.', '7': '""Cook for another 5 minutes', '8': 'Season with salt and black pepper to taste.', '9': 'Remove from heat and serve hot as a flavorful side dish.'}",324.12,0.44,14.042,0,0.192,30.023,4.661,20.527,2.8560000000000003,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.84,0.011,0.012,0.0579999999999999,0.074,0.0,0.42,0.42,0.42,1.806,0.0,0,0.5549999999999999,0.0,6.269,0,7.902,12.0,9.72,1.8,0,0,0.023,0.702,32.04,16.080000000000002,0.0,0.0,0.0,0
200018,recipe,,Vegetable Side Dishes,Creamy Garlic Mushrooms,"['Button mushrooms', 'Butter', 'Heavy cream', 'Garlic cloves', 'Salt', 'Black pepper', 'Fresh thyme (chopped)']","{'1': 'Clean the mushrooms with a damp cloth and trim the stems.', '2': '""Slice the mushrooms into halves or quarters', '3': '""In a large skillet', '4': 'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.', '5': 'Add the sliced mushrooms to the skillet and cook for 8-10 minutes until they are tender and browned.', '6': 'Reduce the heat to low and pour in the heavy cream.', '7': '""Simmer for 5-7 minutes', '8': 'Season with salt and black pepper to taste.', '9': 'Remove from heat and garnish with chopped fresh thyme before serving.', '10': 'Enjoy hot as a creamy and indulgent side dish.'}",347.13,0.974,2.5500000000000003,0,0.243,37.024,20.528,7.606000000000001,1.156,105.75,334.8,341.1,0.9,75.96,3.6,0.0,1.26,0.018,0.009,0.059,0.105,0.0,2.43,2.43,2.43,10.539,0.0,0,0.72,0.18,0.007,0,3.303,25.65,23.58,3.15,0,0,0.03,0.873,46.26,258.12,0.0,0.0,0.0,0
200019,recipe,,Vegetable Side Dishes,Garlic Lemon Fava Beans,"['Fava beans (fresh or frozen)', 'Olive oil', 'Garlic cloves', 'Lemon zest', 'Lemon juice', 'Salt', 'Black pepper']","{'1': '""If using fresh fava beans', '2': 'Heat olive oil in a skillet over medium heat.', '3': 'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.', '4': '""Add the fava beans to the skillet and cook for 4-5 minutes', '5': 'Add lemon zest and lemon juice to the skillet and toss to coat the fava beans evenly.', '6': 'Season with salt and black pepper to taste.', '7': 'Remove from heat and serve hot as a refreshing side dish.'}",278.52,0.395,1.682,0,0.162,30.023,4.661,20.527,2.8560000000000003,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.84,0.011,0.006,0.04,0.07,0.0,0.12,0.12,0.12,1.476,0.0,0,0.48,0.0,6.269,0,7.902,11.1,9.12,1.5,0,0,0.018,0.582,24.24,15.48,0.0,0.0,0.0,0
200020,recipe,,Vegetable Side Dishes,Fava Bean and Tomato Salad,"['Fava beans (fresh or frozen)', 'Cherry tomatoes (halved)', 'Red onion (finely chopped)', 'Fresh parsley (chopped)', 'Olive oil', 'Red wine vinegar', 'Salt', 'Black pepper']","{'1': 'Prepare the fava beans as described in Recipe 1.', '2': '""In a large bowl', '3': '""In a small bowl', '4': 'Drizzle the dressing over the salad and toss to coat evenly.', '5': 'Season with salt and black pepper to taste.', '6': 'Let the salad marinate for at least 30 minutes before serving to allow the flavors to meld.', '7': 'Serve chilled or at room temperature as a vibrant and nutritious side dish.'}",270.0,0.0,0.0,0,0.0,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0,0.0,0.0,6.264,0,7.8,0.3,0.0,0.0,0,0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0
200021,recipe,,Vegetable Side Dishes,Fava Bean and Herb Pilaf,"['Fava beans (fresh or frozen)', 'Basmati rice', 'Vegetable broth', 'Fresh mint (chopped)', 'Fresh dill (chopped)', 'Olive oil', 'Garlic', 'Salt', 'Black pepper']","{'1': 'Prepare the fava beans as described in Recipe 1.', '2': 'Rinse the basmati rice under cold water until the water runs clear.', '3': 'In a large skillet or saucepan', '4': 'Add minced garlic to the skillet and sautÃ© for 1-2 minutes until fragrant.', '5': 'Add the basmati rice to the skillet and sautÃ© for another 2-3 minutes', '6': 'Add the vegetable broth to the skillet and bring to a boil.', '7': 'Reduce heat to low', '8': 'Stir in the cooked fava beans', '9': 'Season with salt and black pepper to taste.', '10': 'Cover and let the pilaf sit for 5 minutes before serving to allow the flavors to blend.', '11': 'Fluff with a fork and serve hot as a fragrant and flavorful side dish.'}",723.58,14.147,30.892,0,14.162,63.173,11.616,40.12199999999999,6.585999999999999,20.0,130.0,375.0,45.0,2850.3,55.0,0.0,5335.96,0.332,0.722,4.022,0.859,0.0,250.18,250.18,250.18,84.982,1.3,0,41.1,2.5,11.869000000000002,0,434.902,376.16,374.18,156.5,0,0,0.443,5.588,1769.36,191.62,0.0,0.0,0.0,0
200022,recipe,,Vegetable Side Dishes,Roasted Beet Salad,"['Beets - medium', 'Olive oil', 'Balsamic vinegar', 'Honey', 'Salt', 'Black pepper', 'Goat cheese', 'Walnuts', 'Fresh parsley']","{'1': 'Preheat the oven to 400°F (200°C).', '2': 'Scrub the beets and trim off the tops and roots. Peel if desired.', '3': 'Cut the beets into wedges or cubes and place them on a baking sheet.', '4': 'Drizzle olive oil over the beets and toss to coat evenly.', '5': '""Roast in the preheated oven for 25-30 minutes', '6': '""In a small bowl', '7': 'Drizzle the balsamic-honey mixture over the roasted beets and toss to coat.', '8': 'Season with salt and black pepper to taste.', '9': 'Sprinkle crumbled goat cheese and chopped walnuts over the beets.', '10': 'Garnish with chopped fresh parsley before serving.', '11': 'Enjoy warm or at room temperature as a delightful side dish.'}",775.825,18.003,14.558,0,6.072,74.781,9.572,52.559,8.5,43.125,0.0,0.625,1.875,6.875,0.0,0.0,57.5,0.416,0.145,1.406,0.472,0.0,71.975,71.975,71.975,93.762,0.656,0,3.963,0.562,15.814,0,18.8,81.85,216.45,107.6,0,0,1.156,1.602,447.275,588.925,0.0,0.0,0.0,0
200023,recipe,,Vegetable Side Dishes,Beet and Feta Salad,"['Beets - medium', 'Olive oil', 'Red wine vinegar', 'Dijon mustard', 'Honey', 'Salt', 'Black pepper', 'Feta cheese', 'Toasted pine nuts', 'Fresh basil']","{'1': 'Preheat the oven to 400Â°F (200Â°C).', '2': 'Scrub the beets and trim off the tops and roots. Peel if desired.', '3': 'Cut the beets into wedges or cubes and place them on a baking sheet.', '4': 'Drizzle olive oil over the beets and toss to coat evenly.', '5': '""Roast in the preheated oven for 25-30 minutes', '6': '""In a small bowl', '7': 'Drizzle the dressing over the roasted beets and toss to coat.', '8': 'Season with salt and black pepper to taste.', '9': 'Sprinkle crumbled feta cheese and toasted pine nuts over the beets.', '10': 'Garnish with chopped fresh basil before serving.', '11': 'Enjoy warm or at room temperature as a flavorful side dish.'}",383.325,8.659,4.12,0,0.01,36.812,6.782,24.027,3.5500000000000003,43.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.074,0.281,0.12,0.0,1.35,1.35,1.35,65.262,0.656,0,0.025,0.562,6.42,0,9.925,10.6,35.2,5.725,0,0,0.078,0.102,22.275,588.925,0.0,0.0,0.0,0
200024,recipe,,Vegetable Side Dishes,Balsamic Glazed Beets,"['Beets - medium', 'Balsamic vinegar', 'Honey', 'Olive oil', 'Salt', 'Black pepper', 'Fresh thyme']","{'1': 'Preheat the oven to 400Â°F (200Â°C).', '2': 'Scrub the beets and trim off the tops and roots. Peel if desired.', '3': 'Cut the beets into wedges or cubes and place them on a baking sheet.', '4': '""In a small bowl', '5': 'Drizzle the balsamic mixture over the beets and toss to coat evenly.', '6': '""Roast in the preheated oven for 25-30 minutes', '7': 'Season with salt and black pepper to taste.', '8': 'Garnish with chopped fresh thyme before serving.', '9': 'Enjoy warm as a tangy and sweet side dish.'}",361.2,0.09,24.72,0,0.06,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.036,0.007,0.0,0.6,0.6,0.6,0.75,0.0,0,0.15,0.0,6.264,0,7.8,2.1,1.2,0.6,0,0,0.011,0.24,15.9,1.7999999999999998,0.0,0.0,0.0,0
200025,recipe,,Vegetable Side Dishes,Stuffed Bell Peppers,"['Bell peppers', 'Ground beef', 'Cooked rice', 'Onion', 'Garlic', 'Tomato sauce', 'Salt', 'Black pepper', 'Shredded cheese']","{'1': 'Preheat the oven to 375°F (190°C).', '2': 'Cut the tops off the bell peppers and remove the seeds and membranes.', '3': '""In a skillet', '4': '""Stir in cooked rice', '5': 'Stuff each bell pepper with the beef and rice mixture.', '6': 'Place stuffed bell peppers in a baking dish and sprinkle shredded cheese on top.', '7': 'Bake for 25-30 minutes or until peppers are tender and cheese is melted.', '8': 'Serve hot and enjoy!'}",469.83,9.159,51.517,0,1.287,25.635,13.929,5.305000000000001,1.334,75.0,233.75,330.0,70.0,1079.05,78.75,0.0,13.46,0.094,0.23,0.557,0.287,28.75,13.93,63.93,42.68,14.767,0.138,0,5.6,0.125,0.105,0,2.477,153.36,152.93,30.25,0,0,0.161,7.963,299.06,951.02,0.0,0.0,0.0,0
200026,recipe,,Vegetable Side Dishes,Roasted Bell Peppers,"['Bell peppers', 'Olive oil', 'Balsamic vinegar', 'Garlic powder', 'Salt', 'Black pepper']","{'1': 'Preheat the oven to 400Â°F (200Â°C).', '2': 'Cut the bell peppers into quarters and remove the seeds and membranes.', '3': '""In a bowl', '4': 'Toss the bell pepper quarters in the olive oil mixture until evenly coated.', '5': 'Arrange the bell pepper quarters on a baking sheet in a single layer.', '6': 'Roast in the preheated oven for 20-25 minutes or until peppers are tender and slightly charred.', '7': 'Remove from the oven and serve as a delicious side dish.'}",270.0,0.0,0.0,0,0.0,30.0,4.656,20.526,2.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0,0.0,0.0,6.264,0,7.8,0.3,0.0,0.0,0,0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0
