Original Name from Recipes,"Corresponding FNDDS Name ""Main Food Description""",Same or Not,ingredient_id,Database
"""beef brisket""",,,13367,FNDDS_ingredients
"""beef broth""",,,6008,FNDDS_ingredients
"""beef chuck roast""",,,13285,FNDDS_ingredients
"""beef chuck""",,,13285,FNDDS_ingredients
"""beef marrow bones""",,,Not necessary,
"""beef shank""",,,169442,MyFood
"""beef short ribs""",,,13840,FNDDS_ingredients
"""beef sirloin or tenderloin""",,,23625,FNDDS_ingredients
"""beef sirloin steak""",,,23625,FNDDS_ingredients
"""beef tenderloin steaks""",,,23625,FNDDS_ingredients
"""beef tenderloin""",,,23625,FNDDS_ingredients
"""beef tripe""",,,13341,FNDDS_ingredients
"""beef""",,,21000100,FNDDS_nutrients
"""beer""","""Beer""",Same,93101000,FNDDS_nutrients
"""beets - medium""",,,11080,FNDDS_ingredients
"""bell pepper - large""",,,11334,FNDDS_ingredients
"""bell pepper - medium""",,,11334,FNDDS_ingredients
"""bell pepper - small""",,,11334,FNDDS_ingredients
"""bell pepper (any color)""",,,11334,FNDDS_ingredients
"""bell pepper (red or green)""",,,11334,FNDDS_ingredients
"""bell pepper""",,,11334,FNDDS_ingredients
"""bell peppers - large""",,,11334,FNDDS_ingredients
"""bell peppers (any color)""",,,11334,FNDDS_ingredients
"""bell peppers (red and green)""",,,11334,FNDDS_ingredients
"""bell peppers (red, yellow, or orange) - large""",,,11334,FNDDS_ingredients
"""bell peppers (red, yellow, or orange)""",,,11334,FNDDS_ingredients
"""bell peppers""",,,11334,FNDDS_ingredients
"""beni shoga (red pickled ginger)""",,,169765,MyFood
"""black beans (cooked and seasoned)""",,,16015,FNDDS_ingredients
"""black beans""",,,16015,FNDDS_ingredients
"""black coffee""",,,14179,FNDDS_ingredients
"""black grapes""",,,63123000,FNDDS_nutrients
"""black olives""",,,9193,FNDDS_ingredients
"""black pepper - ground""",,,2030,FNDDS_ingredients
"""black pepper""",,,2030,FNDDS_ingredients
"""black peppercorns""",,,2030,FNDDS_ingredients
"""black raspberries""",,,9302,FNDDS_ingredients
"""black tea""",,,14199,FNDDS_ingredients
"""blackberries""",,,9042,FNDDS_ingredients
"""blue cheese crumbles""",,,1004,FNDDS_ingredients
"""blue cheese or ranch dressing""",,,1004,FNDDS_ingredients
"""blue cheese""",,,1004,FNDDS_ingredients
"""blueberries""",,,9050,FNDDS_ingredients
"""boiled potatoes - medium""",,,11367,FNDDS_ingredients
"""boiling water""",,,Not necessary,
"""bok choy""","""bok choy""",Same,11116,FNDDS_ingredients
"""bone-in skin-on chicken thighs""",,,24150210,FNDDS_nutrients
"""boneless pork belly""",,,167812,MyFood
"""boneless pork loin chops""",,,10002,FNDDS_ingredients
"""boneless pork shoulder or loin""",,,10002,FNDDS_ingredients
"""boneless pork shoulder""",,,10002,FNDDS_ingredients
"""boneless skinless chicken breast""",,,24120110,FNDDS_nutrients
"""boneless skinless chicken breasts or thighs""",,,24120110,FNDDS_nutrients
"""boneless skinless chicken breasts""",,,24120110,FNDDS_nutrients
"""boneless skinless chicken thigh""",,,24150220,FNDDS_nutrients
"""boneless skinless chicken thighs""",,,24150220,FNDDS_nutrients
"""boneless skinless veal cutlets""",,,782030,MyFood
"""bouquet garni (parsley, thyme, bay leaf tied together) - small""",,,2029,FNDDS_ingredients
"""brandy""","""Brandy""",Same,93501000,FNDDS_nutrients
"""bread - sourdough""",,,18029,FNDDS_ingredients
"""bread - white""",,,18069,FNDDS_ingredients
"""bread - whole wheat""",,,18064,FNDDS_ingredients
"""bread cubes""",,,172751,MyFood
"""bread""",,,18069,FNDDS_ingredients
"""breadcrumbs""",,,18079,FNDDS_ingredients
"""brie cheese""",,,1006,FNDDS_ingredients
"""broccoli florets""",,,11090,FNDDS_ingredients
"""broccoli""",,,11090,FNDDS_ingredients
"""brown lentils""",,,16070,FNDDS_ingredients
"""brown rice""",,,20036,FNDDS_ingredients
"""brown sugar""",,,19334,FNDDS_ingredients
"""brussels sprouts""",,,11098,FNDDS_ingredients
"""buffalo sauce""","""Buffalo sauce""",Same,74406060,FNDDS_nutrients
"""bun""",,,51150000,FNDDS_nutrients
"""butter""",,,1001,FNDDS_ingredients
"""buttermilk""",,,1088,FNDDS_ingredients
"""butternut squash - medium""",,,11493,FNDDS_ingredients
"""butternut squash""",,,11493,FNDDS_ingredients
"""button mushrooms""",,,11260,FNDDS_ingredients
"""cabbage - shredded""",,,11109,FNDDS_ingredients
"""cabbage (green or purple)""",,,11109,FNDDS_ingredients
"""cabbage""",,,11109,FNDDS_ingredients
"""caesar dressing""","""Caesar dressing""",Same,84102000,FNDDS_nutrients
"""cajun seasoning""",,,11109,FNDDS_ingredients
"""calamari""",,,15175,FNDDS_ingredients
"""canadian bacon""",,,10998,FNDDS_ingredients
"""canned pinto beans""",,,16043,FNDDS_ingredients
"""canned tuna in olive oil""",,,15121,FNDDS_ingredients
"""canned tuna""",,,15121,FNDDS_ingredients
"""cannellini beans""",,,173750,MyFood
"""canola oil""","""Canola oil""",Same,82105500,FNDDS_nutrients
"""cantaloupe""",,,9181,FNDDS_ingredients
"""capers""","""capers""",Same,2054,FNDDS_nutrients
"""carrot - large""",,,11124,FNDDS_ingredients
"""carrot - medium""",,,11124,FNDDS_ingredients
"""carrot - small""",,,11124,FNDDS_ingredients
"""carrot""",,,11124,FNDDS_ingredients
"""carrots - diced""",,,11124,FNDDS_ingredients
"""carrots - medium""",,,11124,FNDDS_ingredients
"""carrots - large""",,,11124,FNDDS_ingredients
"""carrots - shredded""",,,11125,FNDDS_ingredients
"""carrots""",,,11124,FNDDS_ingredients
"""cashew nuts""",,,12085,FNDDS_ingredients
"""cashews - roasted and salted""",,,12588,FNDDS_ingredients
"""cashews - roasted unsalted""",,,12085,FNDDS_ingredients
"""cashews""",,,12085,FNDDS_ingredients
"""catfish fillets""",,,15234,FNDDS_ingredients
"""cauliflower florets""",,,11138,FNDDS_ingredients
"""cauliflower""",,,11138,FNDDS_ingredients
"""cayenne pepper""",,,170932,MyFood
"""cedar plank""","""cedar plank""",Same,Not necessary,
"""celery seed""",,,11143,FNDDS_ingredients
"""celery stalk - large""",,,11143,FNDDS_ingredients
"""celery stalk""",,,11143,FNDDS_ingredients
"""celery stalks - large""",,,11143,FNDDS_ingredients
"""celery stalks""",,,11143,FNDDS_ingredients
"""celery""",,,11143,FNDDS_ingredients
"""char siu (barbecued pork)""",,,22000100,FNDDS_nutrients
"""cheddar cheese - shredded""",,,1009,FNDDS_ingredients
"""cheddar cheese""",,,1009,FNDDS_ingredients
"""cheerios oat crunch""",,,785702,MyFood
"""cheerios""","""cheerios""",Same,57123000,FNDDS_nutrients
"""cheese filling (see below)""",,,Not necessary,
"""cheese slices""",,,14410500,FNDDS_nutrients
"""cheese""",,,14010000,FNDDS_nutrients
"""cherry tomatoes (halved)""",,,11529,FNDDS_ingredients
"""cherry tomatoes""",,,11529,FNDDS_ingredients
"""chia seeds""","""Chia seeds""",Same,43108010,FNDDS_nutrients
"""chicken - cooked""",,,99992405,FNDDS_nutrients
"""chicken breast  - large""",,,5000,FNDDS_ingredients
"""chicken breast - cooked and shredded""",,,5000,FNDDS_ingredients
"""chicken breast - skinless and boneless""",,,5000,FNDDS_ingredients
"""chicken breast""",,,5000,FNDDS_ingredients
"""chicken breasts - medium""",,,5000,FNDDS_ingredients
"""chicken breasts or thighs - boneless and skinless""",,,5000,FNDDS_ingredients
"""chicken breasts""",,,5000,FNDDS_ingredients
"""chicken broth - low-sodium""",,,6183,FNDDS_ingredients
"""chicken broth""",,,6183,FNDDS_ingredients
"""chicken drumsticks - skin-on""",,,5073,FNDDS_ingredients
"""chicken feet""","""Chicken feet""",Same,24198500,FNDDS_nutrients
"""chicken pieces""",,,99992405,FNDDS_nutrients
"""chicken stock""",,,172884,MyFood
"""chicken thighs - skin-on thighs""",,,5098,FNDDS_ingredients
"""chicken thighs bone-in skin-on""",,,5098,FNDDS_ingredients
"""chicken thighs""",,,5098,FNDDS_ingredients
"""chicken wings""",,,5103,FNDDS_ingredients
"""chicken""",,,99992405,FNDDS_nutrients
"""chickpeas (canned)""",,,16057,FNDDS_ingredients
"""chili flakes""",,,2009,FNDDS_ingredients
"""chili garlic sauce""",,,2,custom_table
"""chili oil""",,,3,custom_table
"""chili powder""",,,2009,FNDDS_ingredients
"""chipotle pepper""",,,4,custom_table
"""chipotle peppers in adobo sauce""",,,5,custom_table
"""chives""",,,11156,FNDDS_ingredients
"""chocolate chips""","""Chocolate chips""",Same,91705200,FNDDS_nutrients
"""chocolate protein powder""",,,95220100,FNDDS_nutrients
"""chopped cilantro""",,,11165,FNDDS_ingredients
"""chopped cooked chorizo""",,,100173,FNDDS_ingredients
"""chopped cooked ham""",,,168223,MyFood
"""chopped cooked spinach""",,,11464,FNDDS_ingredients
"""chopped fresh chives or dill""",,,11156,FNDDS_ingredients
"""chopped fresh chives""",,,11156,FNDDS_ingredients
"""chopped fresh cilantro""",,,11165,FNDDS_ingredients
"""chopped fresh herbs (parsley, basil, oregano)""",,,2029,FNDDS_ingredients
"""chopped fresh herbs""",,,2029,FNDDS_ingredients
"""chopped fresh oregano""",,,2027,FNDDS_ingredients
"""chopped fresh parsley""",,,2029,FNDDS_ingredients
"""chopped green cabbage""",,,11109,FNDDS_ingredients
"""chopped green chiles""",,,168577,MyFood
"""chopped napa cabbage""",,,11109,FNDDS_ingredients
"""chopped tomatoes (canned)""",,,11531,FNDDS_ingredients
"""chopped vegetables (such as onions, peppers, mushrooms)""",,,75311020,FNDDS_nutrients
"""chopped white onion""",,,11283,FNDDS_ingredients
"""chorizo sausage""",,,173859,MyFood
"""chow mein noodles (fresh or dried)""",,,20113,FNDDS_ingredients
"""chow mein noodles""",,,20113,FNDDS_ingredients
"""chuck roast""",,,174018,MyFood
"""chungjang (korean black bean paste)""",,,6,custom_table
"""ciabatta bread""",,,51109010,FNDDS_nutrients
"""cilantro leaves""",,,11165,FNDDS_ingredients
"""cilantro""",,,11165,FNDDS_ingredients
"""cinnamon""",,,2010,FNDDS_ingredients
"""clam juice""",,,171882,MyFood
"""clams""",,,171975,MyFood
"""clarified butter (ghee)""",,,171314,MyFood
"""coarse black pepper""",,,2030,FNDDS_ingredients
"""coarse sea salt""",,,2047,FNDDS_ingredients
"""cocoa powder""",,,19165,FNDDS_ingredients
"""coconut flakes""",,,42106020,FNDDS_nutrients
"""coconut milk""","""Coconut milk""",Same,11370000,FNDDS_nutrients
"""coconut oil""","""Coconut oil""",Same,82101500,FNDDS_nutrients
"""coconut water""",,,42403010,FNDDS_nutrients
"""cod fillets""",,,15016,FNDDS_ingredients
"""cod""",,,15016,FNDDS_ingredients
"""cognac""","""cognac""",Same,2012,FNDDS_ingredients
"""coke classic""",,,14148,FNDDS_ingredients
"""cold unsalted butter""",,,1001,FNDDS_ingredients
"""cold water""",,,Not necessary,
"""coleslaw """,,,Not necessary,
"""collard greens""",,,11164,FNDDS_ingredients
"""cooked and shredded chicken""",,,99992405,FNDDS_nutrients
"""cooked and shredded meat""",,,Not necessary,
"""cooked chicken breast""",,,24120110,FNDDS_nutrients
"""cooked chicken""",,,99992405,FNDDS_nutrients
"""cooked octopus""",,,26205110,FNDDS_nutrients
"""cooked protein (chicken, shrimp, tofu)""",,,Not necessary,
"""cooked rice (preferably cold)""",,,20055,FNDDS_ingredients
"""naan""",,,51108100,FNDDS_nutrients
"""cooked rice""",,,20055,FNDDS_ingredients
"""cooked shrimp""",,,15152,FNDDS_ingredients
"""cooked spaghetti or pasta""",,,20121,FNDDS_ingredients
"""cooked vegetables (chopped)""",,,75311020,FNDDS_nutrients
"""cooked vermicelli noodles (thin rice noodles)""",,,16082,FNDDS_ingredients
"""cooked white rice""",,,20055,FNDDS_ingredients
"""cooking oil""",,,82101000,FNDDS_nutrients
"""cooking spray""",,,171430,MyFood
"""coriander leaves""",,,2012,FNDDS_ingredients
"""coriander powder""",,,2012,FNDDS_ingredients
"""coriander""","""coriander""",Same,2012,FNDDS_ingredients
"""corn kernels (fresh or frozen)""",,,168398,MyFood
"""corn kernels""",,,11167,FNDDS_ingredients
"""corn on the cob""",,,168401,MyFood
"""corn syrup""","""Corn syrup""",Same,91301030,FNDDS_nutrients
"""corn tortillas - large""",,,18363,FNDDS_ingredients
"""corn tortillas - small""",,,18363,FNDDS_ingredients
"""corn tortillas (day-old or stale preferred)""",,,18363,FNDDS_ingredients
"""corn tortillas""",,,18363,FNDDS_ingredients
"""corn""",,,11167,FNDDS_ingredients
"""cornichons""",,,7,custom_table
"""cornmeal""",,,168867,MyFood
"""cornstarch""","""cornstarch""",Same,20027,FNDDS_ingredients
"""côte de boeuf""",,,174982,MyFood
"""cotija cheese""",,,14134000,FNDDS_nutrients
"""couscous""",,,169699,MyFood
"""crackers""",,,174982,MyFood
"""cranberries""",,,9078,FNDDS_ingredients
"""cream cheese""",,,1017,FNDDS_ingredients
"""cream of mushroom soup""",,,75607060,FNDDS_nutrients
"""cream of tartar""",,,175041,MyFood
"""cream of wheat""",,,56206990,FNDDS_nutrients
"""cream""",,,1053,FNDDS_ingredients
"""creamy peanut butter""",,,16398,FNDDS_ingredients
"""crema mexicana (mexican sour cream)""",,,171257,MyFood
"""cremini mushrooms - medium""",,,11266,FNDDS_ingredients
"""cremini mushrooms""",,,11266,FNDDS_ingredients
"""crispy tortilla strips""",,,173143,MyFood
"""croutons""","""Croutons""",Same,18243,FNDDS_ingredients
"""crumbled queso fresco cheese""",,,14133000,FNDDS_nutrients
"""crushed breadcrumbs""",,,172806,MyFood
"""crushed red pepper flakes""",,,8,custom_table
"""crushed tomatoes (canned)""",,,11531,FNDDS_ingredients
"""crushed tomatoes""",,,11531,FNDDS_ingredients
"""crusty bread""",,,172675,MyFood
"""cube steak""",,,781817,MyFood
"""cucumber - large""",,,11205,FNDDS_ingredients
"""cucumber - medium""",,,11205,FNDDS_ingredients
"""cucumber""",,,11205,FNDDS_ingredients
"""cucumber,english (seedless preferred)""",,,11205,FNDDS_ingredients
"""cucumbers""",,,11205,FNDDS_ingredients
"""cumin powder""",,,2014,FNDDS_ingredients
"""cumin seeds""",,,2014,FNDDS_ingredients
"""cumin""","""cumin""",Same,2014,FNDDS_ingredients
"""curry powder""",,,170924,MyFood
"""daikon radish - small""",,,11429,FNDDS_ingredients
"""daikon radish""",,,11429,FNDDS_ingredients
"""dark chocolate chips""",,,91705200,FNDDS_nutrients
"""dark chocolate""",,,170274,MyFood
"""dashi stock""",,,9,custom_table
"""day-old bread""",,,51101000,FNDDS_nutrients
"""diced cherry tomatoes""",,,11531,FNDDS_ingredients
"""diced cooked ham""",,,22311000,FNDDS_nutrients
"""diced tomato - medium""",,,11531,FNDDS_ingredients
"""diced tomatoes""",,,11531,FNDDS_ingredients
"""dijon mustard""",,,83105500,FNDDS_ingredients
"""dill pickles""",,,168558,MyFood
"""dill""",,,172233,MyFood
"""ditalini pasta""",,,20120,FNDDS_ingredients
"""doenjang (korean soybean paste)""",,,41420110,FNDDS_nutrients
"""doubanjiang (fermented chili bean paste)""",,,10,custom_table
"""dried anchovies - myulchi""",,,11,custom_table
"""dried apricots""",,,9032,FNDDS_ingredients
"""dried basil""",,,2003,FNDDS_ingredients
"""dried pinto beans""",,,12,custom_table
"""dried black soybeans (seoritae)""",,,172441,MyFood
"""dried bonito flakes (katsuobushi)""",,,13,custom_table
"""dried burdock root (gobo)""",,,788080,MyFood
"""dried chickpeas""",,,16057,FNDDS_ingredients
"""dried chili peppers""",,,169396,MyFood
"""dried chilies de arbol""",,,169396,MyFood
"""dried corn husks (approx. 8 inches long)""",,,Not necessary,
"""dried cranberries""",,,9079,FNDDS_ingredients
"""dried dill""",,,170925,MyFood
"""dried fruit""",,,62101050,FNDDS_nutrients
"""dried green lentils""",,,16070,FNDDS_ingredients
"""dried hijiki seaweed""",,,14,custom_table
"""dried mangoes""",,,9178,FNDDS_ingredients
"""dried navy beans""",,,173746,MyFood
"""dried oregano""",,,2027,FNDDS_ingredients
"""dried parsley""",,,2029,FNDDS_ingredients
"""dried pinto beans""",,,12,custom_table
"""dried red chili peppers (arbol or similar)""",,,169396,MyFood
"""dried red chili peppers""",,,169396,MyFood
"""dried red chilies""",,,169396,MyFood
"""dried thin wheat noodles""",,,168906,MyFood
"""dried thyme""",,,2042,FNDDS_ingredients
"""dried wakame seaweed""",,,168457,MyFood
"""dried white beans""",,,784139,MyFood
"""dry red wine""",,,173190,MyFood
"""dry white wine""",,,174837,MyFood
"""duck confit legs""",,,172411,MyFood
"""duck fat""",,,15,custom_table
"""duck sauce""","""Duck sauce""",Same,27046,FNDDS_ingredients
"""edamame""",,,11212,FNDDS_ingredients
"""egg - fried""",,,173423,MyFood
"""egg - large""",,,1124,FNDDS_ingredients
"""egg noodles""",,,20109,FNDDS_ingredients
"""egg white - large""",,,172183,MyFood
"""egg whites - large""",,,172184,MyFood
"""egg whites""",,,172185,MyFood
"""egg yolk - large""",,,172184,MyFood
"""egg yolk""",,,172184,MyFood
"""egg yolks""",,,172184,MyFood
"""egg""",,,1124,FNDDS_ingredients
"""eggplant - large""",,,11209,FNDDS_ingredients
"""eggplant - medium""",,,11209,FNDDS_ingredients
"""eggplant""",,,11209,FNDDS_ingredients
"""eggs - large""",,,31102000,FNDDS_nutrients
"""eggs""","""eggs""",Same,31102000,FNDDS_nutrients
"""elbow macaroni""",,,56130000,FNDDS_nutrients
"""enchilada sauce""",,,27063,FNDDS_ingredients
"""english muffins""",,,172761,MyFood
"""enoki mushrooms""",,,169382,MyFood
"""espresso""",,,171891,MyFood
"""extra virgin olive oil""",,,82104000,FNDDS_nutrients
"""fava beans (fresh or frozen)""",,,168574,MyFood
"""fava beans""",,,16053,FNDDS_ingredients
"""fennel bulb""",,,11957,FNDDS_ingredients
"""feta cheese""",,,1019,FNDDS_ingredients
"""fettuccine""","""fettuccine""",Same,20120,FNDDS_ingredients
"""fillings""",,,Not necessary,
"""firm tofu""",,,172448,MyFood
"""fish cake (odeng)""",,,783040,MyFood
"""fish sauce""","""Fish sauce""",Same,6179,FNDDS_ingredients
"""fish stock""",,,172890,FNDDS_ingredients
"""fish""",,,26100100,FNDDS_ingredients
"""five-spice powder""",,,16,FNDDS_ingredients
"""flank steak""",,,168609,FNDDS_ingredients
"""flour tortilla""",,,18364,FNDDS_ingredients
"""flour tortillas - large""",,,18364,FNDDS_ingredients
"""flour tortillas""",,,18364,FNDDS_ingredients
"""flour""",,,168894,MyFood
"""french bread""",,,784616,MyFood
"""fried onion rings""",,,169840,MyFood
"""fresh arugula""",,,75113080,FNDDS_nutrients
"""fresh asparagus""",,,787884,MyFood
"""fresh basil leaves - large""",,,2029,FNDDS_ingredients
"""fresh basil leaves""",,,2029,FNDDS_ingredients
"""fresh basil""",,,2029,FNDDS_ingredients
"""fresh breadcrumbs""",,,174298,MyFood
"""fresh cilantro""",,,11165,FNDDS_ingredients
"""fresh clams""",,,171975,MyFood
"""fresh cranberries""",,,9078,FNDDS_ingredients
"""fresh dill or chives""",,,11156,FNDDS_ingredients
"""fresh dill""",,,172233,MyFood
"""fresh epazote leaves,optional""",,,Not necessary,
"""fresh figs""",,,9089,FNDDS_ingredients
"""fresh flat-leaf parsley""",,,2029,FNDDS_ingredients
"""fresh ginger""",,,11216,FNDDS_ingredients
"""fresh gooseberries""",,,173030,MyFood
"""fresh green beans""",,,75101800,FNDDS_nutrients
"""fresh mint leaves""",,,2065,FDA_website
"""fresh mint""",,,2065,FDA_website
"""fresh mozzarella""",,,14107010,FNDDS_nutrients
"""fresh oregano leaves""",,,2027,FNDDS_ingredients
"""fresh oregano""",,,2027,FNDDS_ingredients
"""fresh parsley""",,,2029,FNDDS_ingredients
"""fresh pesto""",,,81302070,FNDDS_nutrients
"""fresh rosemary sprig""",,,173473,MyFood
"""fresh rosemary sprigs""",,,173473,MyFood
"""fresh rosemary""",,,173473,MyFood
"""fresh spinach""",,,11457,FNDDS_ingredients
"""fresh tarragon leaves""",,,2041,FDA_website
"""fresh thyme leaves""",,,2042,FNDDS_ingredients
"""fresh thyme sprigs""",,,2042,FNDDS_ingredients
"""fresh thyme""",,,2042,FNDDS_ingredients
"""freshly grated nutmeg""",,,2025,FNDDS_ingredients
"""freshly ground black pepper""",,,2030,FNDDS_ingredients
"""fried eggs - large""",,,31102000,FNDDS_nutrients
"""fried or steamed eggs""",,,31102000,FNDDS_nutrients
"""frozen acai puree""",,,173175,MyFood
"""frozen banana""",,,9040,FNDDS_ingredients
"""frozen corn""",,,11167,FNDDS_ingredients
"""frozen edamame""",,,11212,FNDDS_ingredients
"""frozen lima beans""",,,169953,MyFood
"""frozen mango chunks""",,,169110,MyFood
"""frozen mixed berries""",,,6320100,FNDDS_nutrients
"""frozen peaches""",,,169116,MyFood
"""frozen peas""",,,11313,FNDDS_ingredients
"""frozen pineapple chunks""",,,9266,FNDDS_ingredients
"""frozen spinach""",,,11464,FNDDS_ingredients
"""frozen strawberries""",,,9316,FNDDS_ingredients
"""frozen vegetable mix""",,,788616,MyFood
"""fully cooked ham""",,,174611,MyFood
"""furikake seasoning""",,,17,custom_table
"""garam masala""",,,18,custom_table
"""garlic - large""",,,11215,FNDDS_ingredients
"""garlic - medium""",,,11215,FNDDS_ingredients
"""garlic chives (buchu)""",,,11156,FNDDS_ingredients
"""garlic powder""",,,2020,FNDDS_ingredients
"""garlic""",,,11215,FNDDS_ingredients
"""ginger""",,,11216,FNDDS_ingredients
"""ginger-garlic paste""",,,19,custom_table
"""glutinous rice flour""",,,1157,FNDDS_ingredients
"""goat cheese""",,,14104700,FNDDS_nutrients
"""gochujang (Korean chili paste)""",,,20,custom_table
"""goji berries""","""goji berries""",Same,173032,MyFood
"""gorgonzola cheese""",,,14010000,FNDDS_nutrients
"""graham cracker crumbs""",,,54102010,FNDDS_ingredients
"""graham crackers""","""Graham crackers""",Same,54102010,FNDDS_nutrients
"""granola bar""",,,53710400,FNDDS_nutrients
"""granola""",,,171646,MyFood
"""granulated sugar""",,,91101010,FNDDS_nutrients
"""grapefruit juice""",,,9123,FNDDS_ingredients
"""grapefruit""",,,9112,FNDDS_ingredients
"""grapes""",,,63123000,FNDDS_nutrients
"""grated daikon radish""",,,11429,FNDDS_ingredients
"""grated ginger""",,,11216,FNDDS_ingredients
"""grated parmesan cheese""",,,1032,FNDDS_ingredients
"""greek vinaigrette""",,,21,custom_table
"""greek yogurt""",,,1293,FNDDS_ingredients
"""green beans""",,,169963,MyFood
"""green bell pepper - large""",,,11334,FNDDS_ingredients
"""green bell pepper - medium""",,,11334,FNDDS_ingredients
"""green bell pepper - small""",,,11334,FNDDS_ingredients
"""green bell pepper""",,,11334,FNDDS_ingredients
"""green cabbage""",,,11109,FNDDS_ingredients
"""green chiles (canned)""",,,168577,MyFood
"""green chiles""",,,168577,MyFood
"""green lentils""",,,16070,FNDDS_ingredients
"""green lettuce leaves""",,,11253,FNDDS_ingredients
"""green olives""",,,9533,FNDDS_ingredients
"""green onion""",,,11291,FNDDS_ingredients
"""green onions - medium""",,,11291,FNDDS_ingredients
"""green onions""",,,11291,FNDDS_ingredients
"""green peppercorns""",,,2030,FNDDS_ingredients
"""green tomatoes - medium""",,,11527,FNDDS_ingredients
"""grilled chicken breast""",,,24120110,FNDDS_nutrients
"""grilled chicken or fish (flaked)""",,,Not necessary,
"""grilled corn""",,,Not necessary,
"""ground beef""",,,23575,FNDDS_ingredients
"""ground black pepper""",,,2030,FNDDS_ingredients
"""ground cinnamon""",,,2010,FNDDS_ingredients
"""ground cloves""",,,171321,MyFood
"""ground coriander""",,,2012,FNDDS_ingredients
"""ground cumin""",,,2014,FNDDS_ingredients
"""ground ginger""",,,11216,FNDDS_ingredients
"""ground lamb""",,,172544,MyFood
"""ground nutmeg""",,,2025,FNDDS_ingredients
"""ground paprika""",,,2028,FNDDS_ingredients
"""ground pork""",,,167903,MyFood
"""ground sausage links""",,,172934,MyFood
